06.05.2012 1:22:46     GET DATA    00 05 00 00 00 03 01 83 02 
06.05.2012 1:22:46     SEND READ    00 04 00 00 00 06 01 03 00 08 00 01 
06.05.2012 1:22:46     GET DATA    00 04 00 00 00 05 01 03 02 2E D1 
06.05.2012 1:22:46     SEND READ    00 03 00 00 00 06 01 03 00 06 00 02 
06.05.2012 1:22:46     GET DATA    00 03 00 00 00 07 01 03 04 01 74 00 00 
06.05.2012 1:22:47     SEND READ    00 02 00 00 00 06 01 03 00 04 00 01 
06.05.2012 1:22:47     GET DATA    00 02 00 00 00 05 01 03 02 01 1A 
06.05.2012 1:22:47     SEND READ    00 01 00 00 00 06 01 03 00 02 00 02 
06.05.2012 1:22:47     GET DATA    00 01 00 00 00 07 01 03 04 00 BC 00 00 
06.05.2012 1:22:47     SEND READ    00 00 00 00 00 06 01 03 00 00 00 01 
06.05.2012 1:22:47     GET DATA    00 00 00 00 00 05 01 03 02 00 5E 
06.05.2012 1:22:47     SEND READ    00 05 00 00 00 06 01 03 00 09 00 01 
06.05.2012 1:22:47     GET DATA    00 05 00 00 00 03 01 83 02 
06.05.2012 1:22:47     SEND READ    00 04 00 00 00 06 01 03 00 08 00 01 
06.05.2012 1:22:47     GET DATA    00 04 00 00 00 05 01 03 02 34 D6 
06.05.2012 1:22:47     SEND READ    00 03 00 00 00 06 01 03 00 06 00 02 
06.05.2012 1:22:47     GET DATA    00 03 00 00 00 07 01 03 04 01 78 00 00 
06.05.2012 1:22:48     SEND READ    00 02 00 00 00 06 01 03 00 04 00 01 
06.05.2012 1:22:48     GET DATA    00 02 00 00 00 05 01 03 02 01 1D 
06.05.2012 1:22:48     SEND READ    00 01 00 00 00 06 01 03 00 02 00 02 
06.05.2012 1:22:48     GET DATA    00 01 00 00 00 07 01 03 04 00 BE 00 00 
06.05.2012 1:22:48     SEND READ    00 00 00 00 00 06 01 03 00 00 00 01 
06.05.2012 1:22:48     GET DATA    00 00 00 00 00 05 01 03 02 00 5F 
06.05.2012 1:22:48     SEND READ    00 05 00 00 00 06 01 03 00 09 00 01 
06.05.2012 1:22:48     GET DATA    00 05 00 00 00 03 01 83 02 
